dialogue,utterance,all_events
Alex grab Jesse 's tool and put them away because Jesse be be lazy .,Alex>>grab>>Jesse>>'s>>tool>>and>>put>>them>>away>>because>>Jesse>>be>>be>>lazy>>.,Alex feels lazy||Alex uses  as a tool||Alex feels lazy||Alex uses  as a tool||Alex grabs Jesse's tools||Alex is feeling lazy||Alex grabs Alex's tools
Alex use note throughout this book to learn as much as they could .,Alex>>use>>note>>throughout>>this>>book>>to>>learn>>as>>much>>as>>they>>could>>.,Alex studies as much as Jesse could||Alex discusses throughout this book||Alex uses throughout this book||Alex uses throughout the book||Alex learns so much||Alex studies as much as Jesse could
Jesse say something mean to Alex and Alex regard them with hurtful eye .,Jesse>>say>>something>>mean>>to>>Alex>>and>>Alex>>regard>>them>>with>>hurtful>>eye>>.,Alex says something to Jesse||Alex regards Jesse with eyes||Alex says something else||Alex regards Jesse with eyes||Alex regards every ||Alex says something like||Alex means something to Jesse||Alex provides  in regard||Alex provides  with regard||Alex says something||Alex means something to Jesse||Alex lets them have it||Alex says mean things
Alex do not use sugar anymore in order to lose weight .,Alex>>do>>not>>use>>sugar>>anymore>>in>>order>>to>>lose>>weight>>.,Alex loses the weight||Alex begins to lose weight||Alex does n't fit anymore||Alex is trying to lose weight||Alex uses  anymore||Alex loses weight||Alex is losing weight||Alex uses salt instead of sugar||Alex does n't lose weight||Alex does n't love Jesse anymore
Kendall drink every night with their friend .,Kendall>>drink>>every>>night>>with>>their>>friend>>.,Alex drinks every ||Alex drinks one night||Alex practices every night||Alex drinks  every morning||Alex makes  every night
"Alex want to show off their cooking skill , so Alex make fish in the kitchen .","Alex>>want>>to>>show>>off>>their>>cooking>>skill>>,>>so>>Alex>>make>>fish>>in>>the>>kitchen>>.",Alex wants to cook||Alex wants  so badly||Alex shows it off to Jesse's friends||Alex wants to learn to cook||Alex makes  in the kitchen||Alex wants to go fishing||Alex does not want to cook||Alex shows it off to Alex's friends||Alex wants so badly||Alex teaches  skills
Mark offer Alex chocolate cake with sprinkle . Alex want ice cream instead .,Mark>>offer>>Alex>>chocolate>>cake>>with>>sprinkle>>.>>Alex>>want>>ice>>cream>>instead>>.,Alex wants some ice cream||Alex bakes a chocolate cake||Alex loves ice cream||Alex wants ice cream||Alex marks time||Alex stops for ice cream||Alex makes the ice cream||Alex makes a chocolate cake||Alex marks every ||Alex loves chocolate
Alex change Jesse 's clothe before she go swim because they want to make sure that Jesse do not wet her old clothe .,Alex>>change>>Jesse>>'s>>clothe>>before>>she>>go>>swim>>because>>they>>want>>to>>make>>sure>>that>>Jesse>>do>>not>>wet>>her>>old>>clothe>>.,Alex does n't feel well||Alex changes clothes||Alex does n't catch anything||Alex goes swimming||Alex does n't want to go||Alex does n't come back||Alex does n't make the team||Alex decides to go swimming||Alex makes sure it was perfect||Alex does n't make the cut||Alex wants to make sure||Alex goes night swimming||Alex wants to go swimming||Alex does n't even care||Alex does n't want to fight||Alex makes sure||Alex goes shopping for clothes||Alex changes Jesse's clothes||Alex decides to go for a swim||Alex does n't want to leave||Alex changes Jesse clothes||Alex wants to make sure||Alex does n't know what to do at first||Alex does n't want to go
Alex run quickly to the door when they hear the delivery person .,Alex>>run>>quickly>>to>>the>>door>>when>>they>>hear>>the>>delivery>>person>>.,Alex hears  at the door||Alex orders delivery food||Alex runs quickly||Alex quickly ran||Alex hears  on the door||Alex hears a knock at the door
Kendall be jealous that it be their sister 's birthday that day .,Kendall>>be>>jealous>>that>>it>>be>>their>>sister>>'s>>birthday>>that>>day>>.,Alex feels jealous||Alex makes Jesse jealous||Alex gets jealous
Alex with watchful eye as he walk down her street because he look different than her .,Alex>>with>>watchful>>eye>>as>>he>>walk>>down>>her>>street>>because>>he>>look>>different>>than>>her>>.,Alex regards Jesse with eyes||Alex walks down the street||Alex looks different||Alex is driving down the street||Alex is walking down the street||Alex walks on the street||Alex is running down the street
Skylar lose their character and laugh in class at a joke that be make .,Skylar>>lose>>their>>character>>and>>laugh>>in>>class>>at>>a>>joke>>that>>be>>make>>.,Alex makes Jesse laugh||Alex loses Alex's character||Alex makes  in class||Alex throws  on the character||Alex makes jokes||Alex makes people laugh||Alex makes a joke||Alex shapes the character 
"Tracy have a gift for fix up place , so Tracy buy an old house .","Tracy>>have>>a>>gift>>for>>fix>>up>>place>>,>>so>>Tracy>>buy>>an>>old>>house>>.",Alex buys a house||Alex fixes the house||Alex buys a new house||Alex buys the house||Alex buys  a gift||Alex buys a gift||Alex buys gifts||Alex has to get it fixed||Alex wants to buy a house||Alex buys an old house||Alex has had it up to here
"Remy and Quinn be have an affair , and then Remy 's wife find out .","Remy>>and>>Quinn>>be>>have>>an>>affair>>,>>and>>then>>Remy>>'s>>wife>>find>>out>>.",Alex finds a wife||Alex takes Alex's wife out
Alex on a long road trip and have to stop by a gas station . Jesse get out of the car and pump their gas .,Alex>>on>>a>>long>>road>>trip>>and>>have>>to>>stop>>by>>a>>gas>>station>>.>>Jesse>>get>>out>>of>>the>>car>>and>>pump>>their>>gas>>.,Alex pumps Alex's gas||Alex is on a long road trip||Alex pumps Jesse's gas||Alex gets out of Jesse's car||Alex takes a road trip||Alex buys  at the gas station||Alex walks to the gas station||Alex is at the gas station||Alex is going on a road trip||Alex gets gas||Alex stops at a gas station||Alex is on a road trip||Alex stops at the gas station||Alex pumps gas||Alex pumps iron||Alex goes on a road trip
Alex leave Jesse and tell her to never call him again .,Alex>>leave>>Jesse>>and>>tell>>her>>to>>never>>call>>him>>again>>.,Alex is never seen again||Alex is never seen again||Alex never eat  again||Alex never drink again||Alex never drink again||Alex never eat  again||Alex never left ||Alex will never see Jesse again
"Alex could not figure out how to play the videogame , but Alex spend the effort try .","Alex>>could>>not>>figure>>out>>how>>to>>play>>the>>videogame>>,>>but>>Alex>>spend>>the>>effort>>try>>.",Alex teaches  how to play||Alex spends Alex's  trying||Alex spends Jesse  trying||Alex learns how to play chess||Alex cuts a figure||Alex learns how to play golf||Alex spends the  trying||Alex spends  trying||Alex plays videogames||Alex learns how to play
Taylor have get very drunk and piss on Alex 's bonfire .,Taylor>>have>>get>>very>>drunk>>and>>piss>>on>>Alex>>'s>>bonfire>>.,Alex gets drunk||Alex gets drunk with Alex's friends||Alex gets very drunk||Alex gets drunk with Jesse's friends||Alex pisses on Jesse's bonfire
"Kai recently purchase new clothe , but then find out they do not fit .","Kai>>recently>>purchase>>new>>clothe>>,>>but>>then>>find>>out>>they>>do>>not>>fit>>.",Alex does n't catch anything||Alex does n't fit anymore||Alex purchases a new one||Alex does n't come back||Alex recently purchased||Alex purchases a new mouse||Alex does n't find anything||Alex recently purchased ||Alex purchases a new car||Alex does n't know what to do at first||Alex would n't fit
Casey put food where Collin have be sit because he get up to go to the bathroom .,Casey>>put>>food>>where>>Collin>>have>>be>>sit>>because>>he>>get>>up>>to>>go>>to>>the>>bathroom>>.,Alex sees where it went||Alex boldly goes where no man has gone before||Alex knows where to go||Alex has to go to the bathroom||Alex has no idea where to start||Alex has to go to the bathroom||Alex has to use the bathroom
Alex try to fight Jesse but Jesse refuse and tell Kai to back off .,Alex>>try>>to>>fight>>Jesse>>but>>Jesse>>refuse>>and>>tell>>Kai>>to>>back>>off>>.,Alex refuses to go||Alex refuses to listen||Alex fights back tears||Alex tries to fight Jesse||Alex tries to tell Jesse||Alex refuses to move||Alex refuses to eat it||Alex refuses to pay
Alex leave early in the morning so he could get their on time .,Alex>>leave>>early>>in>>the>>morning>>so>>he>>could>>get>>their>>on>>time>>.,Alex leaves  early||Alex starts early in the morning||Alex knows could get||Alex sees could get||Alex leaves early in the morning||Alex says could get||Alex is  before could get||Alex wishes could get||Alex leaves early||Alex leaves the  early
Sydney appoint a detective to investigate the string of robbery .,Sydney>>appoint>>a>>detective>>to>>investigate>>the>>string>>of>>robbery>>.,Alex investigates every ||Alex appoints a  to investigate||Alex decides to investigate||Alex appoints a  to investigate||Alex detects  early||Alex detects  in patients
Alex begin to eat the food not know that he be allergic to an ingredient .,Alex>>begin>>to>>eat>>the>>food>>not>>know>>that>>he>>be>>allergic>>to>>an>>ingredient>>.,Alex begins eating||Alex eats the food||Alex eats Jesse food||Alex is allergic to bees||Alex allergic to cats||Alex eats a lot of food||Alex is allergic to cats||Alex eats food||Alex is allergic to peanuts||Alex eats chinese food||Alex begins to eat it||Alex begins to eat||Alex allergic to bees
Sasha give Alex a haircut for free because he could not afford it .,Sasha>>give>>Alex>>a>>haircut>>for>>free>>because>>he>>could>>not>>afford>>it>>.,Alex gives bob||Alex can n't afford to fix it||Alex can n't afford one||Alex gives Jesse a haircut||Alex is so excited Jesse could n't sleep||Alex gives  a haircut||Alex can n't afford to buy one
Robin be rush and take their class test quickly .,Robin>>be>>rush>>and>>take>>their>>class>>test>>quickly>>.,Alex takes a class||Alex quickly took ||Alex takes classes||Alex quickly rushed||Alex takes the class||Alex quickly took
Jan find friend and she routinely enjoy their company and support .,Jan>>find>>friend>>and>>she>>routinely>>enjoy>>their>>company>>and>>support>>.,Alex finds friends||Alex enjoys Jesse's company||Alex enjoys each other 's company
Alex propose another solution after the first one be not successful .,Alex>>propose>>another>>solution>>after>>the>>first>>one>>be>>not>>successful>>.,Alex needs a solution||Alex finds a solution||Alex thinks of a solution||Alex proposes another ||Alex is the first one
Alex be not able to get a word in edgewise when have dinner out with her family .,Alex>>be>>not>>able>>to>>get>>a>>word>>in>>edgewise>>when>>have>>dinner>>out>>with>>her>>family>>.,Alex has a word||Alex gets the word out||Alex takes  out for dinner||Alex takes  out to dinner||Alex not is able to get a word in edgeways||Alex has a dinner party||Alex has a nice dinner||Alex gets the word out||Alex has dinner together||Alex has words
Tracy give a gift to my friend and tell my friend that i have suggest the gift .,Tracy>>give>>a>>gift>>to>>my>>friend>>and>>tell>>my>>friend>>that>>i>>have>>suggest>>the>>gift>>.,Alex suggests Jesse play||Alex gives Jesse a gift||Alex tells my friend||Alex gives  a gift||Alex tells my husband||Alex tells my friends||Alex gives the gift||Alex tells my friend||Alex is my best friend||Alex gives  to my friend||Alex gives  to my friend||Alex plays  on my friend||Alex tells my friends||Alex suggests another ||Alex gives gifts||Alex asks  for suggestions
Alex understand Remy well and well the more they spend time together .,Alex>>understand>>Remy>>well>>and>>well>>the>>more>>they>>spend>>time>>together>>.,Alex spends more time||Alex spends time together||Alex understands the  well||Alex spends more time with Jesse||Alex spends some time together||Alex spends  together||Alex understands the  better||Alex understands  well||Alex spends a lot of time together||Alex understands this  better||Alex spends a  together||Alex understands  better
"Alex and his cohort , the former criminal mastermind for the Alex family , make their escape from jail .","Alex>>and>>his>>cohort>>,>>the>>former>>criminal>>mastermind>>for>>the>>Alex>>family>>,>>make>>their>>escape>>from>>jail>>.",Alex makes Jesse escape||Alex escapes from Alex's cage||Alex prevents the  from escaping||Alex prevents  from escaping||Alex makes Alex's escape
Alex hand back the newspaper and have to go to the other store in town .,Alex>>hand>>back>>the>>newspaper>>and>>have>>to>>go>>to>>the>>other>>store>>in>>town>>.,Alex needs to go to the store||Alex hands  back||Alex goes back to the store||Alex has to go back||Alex reads the newspaper||Alex is going to the store||Alex has to drive to the store||Alex decides to go to the store||Alex delivers newspapers||Alex has to go to the store||Alex goes to town||Alex hands back the ||Alex reads a newspaper||Alex is going out of town
Kai be swinge the bat without pay attention and swing through the post .,Kai>>be>>swinge>>the>>bat>>without>>pay>>attention>>and>>swing>>through>>the>>post>>.,Alex swings for the fences||Alex swings the bat||Alex swings  hard||Alex swings the bat||Alex never paid attention||Alex pays no attention||Alex swings  around||Alex pays attention||Alex swings through ||Alex is n't paying attention||Alex pays Jesse attention||Alex serves without pay
Alex compete in a gymnastic meet . Jesse feel bad after she lose .,Alex>>compete>>in>>a>>gymnastic>>meet>>.>>Jesse>>feel>>bad>>after>>she>>lose>>.,Alex loves gymnastics||Alex times to compete||Alex feels worse||Alex feels bad but||Alex feels bad||Alex throws good money after bad||Alex feels bad for it
"Alex find out that they be very ill , but they make light of the ailment .","Alex>>find>>out>>that>>they>>be>>very>>ill>>,>>but>>they>>make>>light>>of>>the>>ailment>>.",Alex becomes very ill||Alex makes a light||Alex makes light of ||Alex finds it very difficult||Alex makes Jesse ill||Alex feels very ill||Alex makes light work of 
"Quinn be sick and call out on Monday , but Quinn go to work the next day .","Quinn>>be>>sick>>and>>call>>out>>on>>Monday>>,>>but>>Quinn>>go>>to>>work>>the>>next>>day>>.",Alex has to call in sick||Alex goes to work the next day||Alex calls Jesse the next day||Alex goes to class the next day||Alex works the next day||Alex goes the next day||Alex goes to school the next day||Alex calls  the next day
